               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092649,            0.013149,            0.043807,             0.13046,             0.13155,            0.068324,            0.016178,            0.082286,           0.0076733,            0.035264,           0.0033271,           0.0033271,            0.070056
                   1,            0.076775,            0.012889,            0.030466,             0.20849,              0.2088,              0.1379,            0.038057,            0.076873,           0.0072286,            0.031848,           0.0065139,           0.0065139,             0.03991
                   2,            0.072684,            0.012639,             0.02638,             0.21282,             0.17383,               0.111,            0.031747,             0.07992,           0.0076497,            0.033322,            0.009554,            0.009554,           0.0096167
                   3,             0.07002,            0.012475,            0.024264,             0.30842,             0.20946,             0.17015,             0.06156,            0.076888,           0.0071583,            0.031697,             0.00934,             0.00934,             0.00934
                   4,            0.066593,            0.012258,            0.021772,             0.37206,             0.23707,              0.1953,            0.059097,             0.07531,           0.0070531,            0.029205,             0.00934,             0.00934,             0.00934
                   5,            0.064101,             0.01205,            0.020007,             0.38347,             0.25612,             0.20613,            0.064929,            0.073231,           0.0071242,            0.029668,             0.00912,             0.00912,             0.00912
                   6,            0.062384,            0.011885,             0.01912,             0.41753,             0.25837,             0.23566,            0.081896,            0.073461,            0.007278,            0.031183,              0.0089,              0.0089,              0.0089
                   7,            0.060869,            0.011712,            0.018028,             0.42987,             0.25646,              0.2458,            0.074397,            0.074476,           0.0070589,            0.028482,             0.00868,             0.00868,             0.00868
                   8,            0.059844,              0.0116,            0.017529,             0.47577,             0.29847,             0.28557,            0.095044,            0.072512,           0.0068177,            0.028481,             0.00846,             0.00846,             0.00846
                   9,            0.058464,            0.011491,            0.016833,              0.4635,             0.28798,             0.27576,            0.092035,            0.073303,           0.0068624,            0.026562,             0.00824,             0.00824,             0.00824
                  10,            0.057816,            0.011437,            0.016359,             0.47691,             0.32779,             0.30327,             0.10399,            0.070929,           0.0066847,            0.027574,             0.00802,             0.00802,             0.00802
                  11,            0.056804,            0.011311,            0.015787,             0.54311,             0.33234,             0.32727,             0.11776,            0.069103,           0.0066331,            0.028956,              0.0078,              0.0078,              0.0078
                  12,            0.056259,            0.011236,            0.015704,             0.49335,             0.31806,             0.31384,             0.11487,            0.071195,           0.0066075,            0.027163,             0.00758,             0.00758,             0.00758
                  13,            0.055479,            0.011143,            0.014989,             0.47234,             0.32778,             0.31765,             0.10957,            0.069872,           0.0066296,            0.027804,             0.00736,             0.00736,             0.00736
                  14,            0.054281,            0.011055,            0.014502,             0.51514,             0.34231,             0.34573,             0.12164,            0.068205,           0.0066528,            0.027509,             0.00714,             0.00714,             0.00714
                  15,            0.054022,            0.010981,            0.014437,             0.52871,             0.35264,             0.35095,             0.12367,            0.067985,             0.00673,             0.02715,             0.00692,             0.00692,             0.00692
                  16,            0.053298,            0.010839,            0.014032,             0.50782,             0.35356,             0.34094,             0.11765,            0.069112,           0.0066621,            0.027588,              0.0067,              0.0067,              0.0067
                  17,            0.052694,            0.010774,            0.013777,             0.52041,             0.35615,             0.34588,             0.12198,            0.068808,           0.0066779,            0.027402,             0.00648,             0.00648,             0.00648
                  18,            0.052306,            0.010768,            0.013565,              0.5387,             0.34818,             0.35337,             0.12778,            0.067774,           0.0067248,            0.028318,             0.00626,             0.00626,             0.00626
                  19,            0.051599,            0.010669,            0.013163,             0.52571,             0.36129,             0.35782,             0.12669,            0.068212,            0.006648,            0.028886,             0.00604,             0.00604,             0.00604
                  20,            0.051327,            0.010686,            0.012972,             0.49269,             0.36398,             0.35238,             0.12535,            0.068274,           0.0066094,             0.02823,             0.00582,             0.00582,             0.00582
